dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008747,0.249847,0.000169,0.016882,0.844119,42.205962,6.248190
0.020000,0.008824,0.249844,0.000246,0.003847,-0.651759,-74.793906,6.247883
0.020000,0.008996,0.249838,0.000418,0.008630,0.239138,44.544830,6.247192
0.020000,0.011723,0.249738,0.003147,0.136419,6.389473,307.516753,6.246048
0.020000,0.015662,0.249589,0.007088,0.197085,3.033303,-167.808492,6.244462
0.020000,0.020720,0.249388,0.012150,0.253097,2.800560,-11.637146,6.242447
0.020000,0.026891,0.249129,0.018328,0.308859,2.788129,-0.621540,6.240023
0.020000,0.034171,0.248804,0.025615,0.364353,2.774676,-0.672654,6.237212
0.020000,0.042552,0.248405,0.034005,0.419515,2.758101,-0.828766,6.234039
0.020000,0.052026,0.247922,0.043491,0.474324,2.740435,-0.883286,6.230533
0.020000,0.062585,0.247346,0.054066,0.528727,2.720199,-1.011805,6.226726
0.020000,0.074219,0.246664,0.065720,0.582714,2.699304,-1.044748,6.222653
0.020000,0.086919,0.245867,0.078445,0.636218,2.675198,-1.205293,6.218351
0.020000,0.100673,0.244943,0.092230,0.689259,2.652051,-1.157360,6.213857
0.020000,0.115471,0.243880,0.107066,0.741791,2.626617,-1.271697,6.209213
0.020000,0.131300,0.242669,0.122941,0.793790,2.599953,-1.333187,6.204461
0.020000,0.148150,0.241299,0.139846,0.845253,2.573161,-1.339593,6.199643
0.020000,0.166007,0.239759,0.157770,0.896169,2.545775,-1.369331,6.194803
0.020000,0.184859,0.238043,0.176700,0.946528,2.517956,-1.390916,6.189987
0.020000,0.204695,0.236141,0.196627,0.996324,2.489785,-1.408565,6.185239
0.020000,0.225500,0.234047,0.217537,1.045531,2.460365,-1.471014,6.180606
0.020000,0.247264,0.231757,0.239421,1.094174,2.432160,-1.410259,6.176134
0.020000,0.269972,0.229267,0.262265,1.142223,2.402449,-1.485538,6.171869
0.020000,0.293613,0.226575,0.286059,1.189686,2.373141,-1.465413,6.167859
0.020000,0.318174,0.223683,0.310790,1.236537,2.342549,-1.529579,6.164153
0.020000,0.343643,0.220593,0.336445,1.282780,2.312181,-1.518396,6.160799
0.020000,0.370007,0.217309,0.363013,1.328387,2.280312,-1.593438,6.157848
0.020000,0.397254,0.213840,0.390480,1.373343,2.247819,-1.624673,6.155353
0.020000,0.425371,0.210196,0.418832,1.417610,2.213329,-1.724475,6.153367
0.020000,0.454345,0.206391,0.448055,1.461163,2.177665,-1.783208,6.151950
0.020000,0.484164,0.202442,0.478134,1.503948,2.139262,-1.920188,6.151162
0.020000,0.514813,0.198368,0.509053,1.545908,2.098015,-2.062347,6.151068
0.020000,0.546277,0.194196,0.540792,1.586973,2.053231,-2.239180,6.151741
0.020000,0.578540,0.189953,0.573333,1.627055,2.004075,-2.457820,6.153259
0.020000,0.611585,0.185674,0.606654,1.666040,1.949265,-2.740494,6.155711
0.020000,0.645391,0.181398,0.640730,1.703796,1.887798,-3.073335,6.159193
0.020000,0.679937,0.177170,0.675533,1.740170,1.818722,-3.453806,6.163817
0.020000,0.715195,0.173043,0.711032,1.774949,1.738918,-3.990189,6.169711
0.020000,0.751135,0.169076,0.747190,1.807907,1.647924,-4.549723,6.177020
0.020000,0.787719,0.165337,0.783965,1.838733,1.541290,-5.331674,6.185914
0.020000,0.824903,0.161904,0.821307,1.867096,1.418137,-6.157676,6.196591
0.020000,0.862631,0.158863,0.859157,1.892522,1.271319,-7.340897,6.209284
0.020000,0.900837,0.156315,0.897448,1.914522,1.100005,-8.565700,6.224270
0.020000,0.939436,0.154370,0.936096,1.932413,0.894528,-10.273819,6.241876
0.020000,0.978326,0.153154,0.975005,1.945438,0.651284,-12.162225,6.262490
0.020000,1.017377,0.152804,1.014058,1.952651,0.360627,-14.532857,0.003393
0.020000,1.056430,0.153472,1.053117,1.952950,0.014972,-17.282736,0.031507
0.020000,1.095288,0.155318,1.092018,1.945072,-0.393892,-20.443214,0.064302
0.020000,1.133709,0.158510,1.130571,1.927644,-0.871448,-23.877810,0.102540
0.020000,1.171403,0.163215,1.168558,1.899331,-1.415638,-27.209467,0.147092
0.020000,1.207915,0.169564,1.205619,1.853033,-2.314872,-44.961732,0.198721
0.020000,1.242676,0.177609,1.241298,1.783998,-3.451769,-56.844806,0.257893
0.020000,1.275094,0.187293,1.275131,1.691646,-4.617577,-58.290448,0.324524
0.020000,1.304738,0.198460,1.306809,1.583896,-5.387507,-38.496472,0.397894
0.020000,1.331474,0.210931,1.336311,1.475083,-5.440654,-2.657334,0.476740
0.020000,1.355439,0.224569,1.363884,1.378653,-4.821507,30.957339,0.559322
0.020000,1.376978,0.239340,1.390002,1.305903,-3.637495,59.200593,0.643673
0.020000,1.396486,0.255297,1.415205,1.260139,-2.288185,67.465501,0.727634
0.020000,1.414318,0.272540,1.440009,1.240224,-0.995782,64.620140,0.809139
0.020000,1.430738,0.291166,1.464840,1.241545,0.066084,53.093299,0.886488
0.020000,1.445912,0.311222,1.489990,1.257493,0.797395,36.565571,0.958514
0.020000,1.459926,0.332675,1.515614,1.281217,1.186181,19.439307,1.024593
0.020000,1.472814,0.355416,1.541753,1.306925,1.285383,4.960100,1.084566
0.020000,1.484595,0.379275,1.568362,1.330447,1.176103,-5.464014,1.138609
0.020000,1.495288,0.404050,1.595346,1.349212,0.938271,-11.891605,1.187101
0.020000,1.504923,0.429527,1.622585,1.361929,0.635859,-15.120597,1.230526
0.020000,1.513543,0.455498,1.649949,1.368204,0.313744,-16.105763,1.269401
0.020000,1.521201,0.481767,1.677311,1.368114,-0.004526,-15.913482,1.304229
0.020000,1.527959,0.508160,1.704555,1.362213,-0.295020,-14.524700,1.335483
