dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000040,0.003969,0.198435,9.921751,6.282188
0.020000,0.000000,0.000000,0.000198,0.011906,0.396870,9.921751,6.282196
0.020000,0.000000,0.000000,0.000556,0.023812,0.595305,9.921751,6.282214
0.020000,0.000000,0.000000,0.001191,0.039687,0.793740,9.921751,6.282246
0.020000,0.000000,0.000000,0.002183,0.059531,0.992175,9.921751,6.282295
0.020000,0.000000,0.000000,0.003612,0.083343,1.190610,9.921751,6.282367
0.020000,0.000000,0.000000,0.005556,0.111124,1.389045,9.921751,6.282464
0.020000,0.000000,0.000000,0.008096,0.142873,1.587480,9.921751,6.282590
0.020000,0.000000,0.000000,0.011311,0.178592,1.785915,9.921751,6.282751
0.020000,0.000000,0.000000,0.015279,0.218279,1.984350,9.921751,6.282949
0.020000,0.000082,0.000000,0.020082,0.261934,2.182785,9.921751,0.000004
0.020000,0.005799,0.000001,0.025797,0.309559,2.381220,9.921751,0.000290
0.020000,0.012506,0.000004,0.032504,0.361152,2.579655,9.921751,0.000626
0.020000,0.020282,0.000010,0.040282,0.416714,2.778090,9.921751,0.001016
0.020000,0.029214,0.000021,0.049212,0.476244,2.976525,9.921751,0.001464
0.020000,0.039372,0.000039,0.059372,0.539743,3.174960,9.921751,0.001974
0.020000,0.050844,0.000065,0.070841,0.607211,3.373395,9.921751,0.002552
0.020000,0.063701,0.000102,0.083700,0.678648,3.571830,9.921751,0.003200
0.020000,0.078028,0.000153,0.098027,0.754053,3.770265,9.921751,0.003924
0.020000,0.093903,0.000221,0.113902,0.833427,3.968700,9.921751,0.004728
0.020000,0.111366,0.000312,0.131364,0.912801,3.968700,0.000000,0.005615
0.020000,0.130415,0.000428,0.150414,0.992175,3.968700,-0.000000,0.006585
0.020000,0.151052,0.000575,0.171051,1.071549,3.968700,0.000000,0.007639
0.020000,0.173276,0.000757,0.193276,1.150923,3.968700,-0.000000,0.008778
0.020000,0.197085,0.000981,0.217088,1.230297,3.968700,0.000000,0.010002
0.020000,0.222484,0.001251,0.242488,1.309671,3.968700,-0.000000,0.011313
0.020000,0.249471,0.001576,0.269475,1.389045,3.968700,0.000000,0.012711
0.020000,0.278040,0.001960,0.298049,1.468419,3.968700,-0.000000,0.014198
0.020000,0.308201,0.002412,0.328212,1.547793,3.968700,0.000000,0.015774
0.020000,0.339945,0.002939,0.359961,1.627167,3.968700,-0.000000,0.017442
0.020000,0.373277,0.003550,0.393298,1.706541,3.968700,0.000000,0.019201
0.020000,0.408195,0.004253,0.428223,1.785915,3.968700,0.000000,0.021054
0.020000,0.444699,0.005057,0.464735,1.865289,3.968700,-0.000000,0.023001
0.020000,0.482787,0.005972,0.502834,1.944663,3.968700,0.000000,0.025045
0.020000,0.522461,0.007008,0.542521,2.024037,3.968700,-0.000000,0.027187
0.020000,0.563718,0.008177,0.583796,2.103411,3.968700,0.000000,0.029428
0.020000,0.606560,0.009488,0.626658,2.182785,3.968700,-0.000000,0.031771
0.020000,0.650984,0.010954,0.671107,2.262159,3.968700,0.000000,0.034216
0.020000,0.696994,0.012588,0.717144,2.341533,3.968700,-0.000000,0.036768
0.020000,0.744581,0.014401,0.764769,2.420907,3.968700,0.000000,0.039426
0.020000,0.793754,0.016409,0.813980,2.500281,3.968700,-0.000000,0.042193
0.020000,0.844504,0.018625,0.864780,2.579655,3.968700,0.000000,0.045072
0.020000,0.896834,0.021063,0.917167,2.659029,3.968700,-0.000000,0.048065
0.020000,0.950743,0.023740,0.971141,2.738403,3.968700,0.000000,0.051175
0.020000,1.006227,0.026672,1.026703,2.817777,3.968700,0.000000,0.054404
0.020000,1.063287,0.029875,1.083852,2.897151,3.968700,0.000000,0.057754
0.020000,1.121919,0.033367,1.142589,2.976525,3.968700,0.000000,0.061229
0.020000,1.182122,0.037167,1.202913,3.055899,3.968700,-0.000000,0.064831
0.020000,1.243898,0.041293,1.264825,3.135273,3.968700,0.000000,0.068565
0.020000,1.307239,0.045766,1.328324,3.214647,3.968700,0.000000,0.072432
0.020000,1.372145,0.050605,1.393411,3.294021,3.968700,0.000000,0.076436
0.020000,1.438614,0.055834,1.460085,3.373395,3.968700,0.000000,0.080582
0.020000,1.506643,0.061475,1.528346,3.452769,3.968700,-0.000000,0.084872
0.020000,1.576226,0.067550,1.598196,3.532143,3.968700,0.000000,0.089311
0.020000,1.647363,0.074085,1.669632,3.611517,3.968700,0.000000,0.093902
0.020000,1.720048,0.081104,1.742656,3.690891,3.968700,-0.000000,0.098649
0.020000,1.794280,0.088634,1.817268,3.770265,3.968700,0.000000,0.103558
0.020000,1.870051,0.096703,1.893467,3.849639,3.968700,0.000000,0.108633
0.020000,1.947357,0.105339,1.971253,3.929013,3.968700,-0.000000,0.113879
0.020000,2.026190,0.114571,2.050627,4.008387,3.968700,0.000000,0.119299
0.020000,2.106550,0.124432,2.131589,4.087761,3.968700,-0.000000,0.124901
0.020000,2.188425,0.134952,2.214138,4.167135,3.968700,0.000000,0.130689
0.020000,2.271811,0.146165,2.298274,4.246509,3.968700,-0.000000,0.136668
0.020000,2.356699,0.158106,2.383998,4.325883,3.968700,0.000000,0.142845
0.020000,2.443082,0.170811,2.471310,4.405257,3.968700,0.000000,0.149226
0.020000,2.530948,0.184317,2.560209,4.484631,3.968700,-0.000000,0.155817
0.020000,2.620289,0.198662,2.650695,4.564005,3.968700,0.000000,0.162624
0.020000,2.711096,0.213888,2.742769,4.643379,3.968700,-0.000000,0.169655
0.020000,2.803355,0.230037,2.836430,4.722753,3.968700,0.000000,0.176917
0.020000,2.897053,0.247150,2.931679,4.802127,3.968700,0.000000,0.184416
0.020000,2.992177,0.265275,3.028515,4.881501,3.968700,-0.000000,0.192161
0.020000,3.088714,0.284457,3.126939,4.960875,3.968700,0.000000,0.200159
0.020000,3.186646,0.304745,3.226950,5.040249,3.968700,-0.000000,0.208418
0.020000,3.285955,0.326190,3.328549,5.119623,3.968700,0.000000,0.216947
0.020000,3.386623,0.348843,3.431735,5.198997,3.968700,0.000000,0.225754
0.020000,3.488630,0.372758,3.536509,5.278371,3.968700,-0.000000,0.234849
0.020000,3.591955,0.397992,3.642870,5.357745,3.968700,0.000000,0.244240
0.020000,3.696571,0.424602,3.750819,5.437119,3.968700,-0.000000,0.253936
0.020000,3.802456,0.452648,3.860355,5.516493,3.968700,-0.000000,0.263948
0.020000,3.909580,0.482191,3.971478,5.595867,3.968700,0.000000,0.274284
0.020000,4.017913,0.513297,4.084189,5.675241,3.968700,-0.000000,0.284954
0.020000,4.127424,0.546029,4.198488,5.754615,3.968700,0.000000,0.295969
0.020000,4.238076,0.580456,4.314374,5.833989,3.968700,0.000000,0.307339
0.020000,4.349836,0.616649,4.431848,5.913363,3.968700,0.000000,0.319073
0.020000,4.462659,0.654678,4.550909,5.992737,3.968700,0.000000,0.331182
0.020000,4.576504,0.694618,4.671557,6.072111,3.968700,-0.000000,0.343675
0.020000,4.691324,0.736544,4.793793,6.151485,3.968700,0.000000,0.356562
0.020000,4.807070,0.780532,4.917616,6.230859,3.968700,-0.000000,0.369853
0.020000,4.923687,0.826663,5.043027,6.310233,3.968700,0.000000,0.383557
0.020000,5.041119,0.875016,5.170026,6.389607,3.968700,-0.000000,0.397683
0.020000,5.159304,0.925674,5.298612,6.468981,3.968700,-0.000000,0.412239
0.020000,5.278178,0.978719,5.428785,6.548355,3.968700,0.000000,0.427232
0.020000,5.397635,1.034219,5.560506,6.623761,3.770265,-9.921751,0.442665
0.020000,5.517531,1.092220,5.693696,6.695197,3.571830,-9.921751,0.458534
0.020000,5.637718,1.152767,5.828274,6.762665,3.373395,-9.921751,0.474832
0.020000,5.758049,1.215899,5.964163,6.826164,3.174960,-9.921751,0.491553
0.020000,5.878373,1.281647,6.101281,6.885695,2.976525,-9.921751,0.508686
0.020000,5.998541,1.350042,6.239551,6.941257,2.778090,-9.921751,0.526220
0.020000,6.118398,1.421101,6.378892,6.992850,2.579655,-9.921751,0.544141
0.020000,6.237795,1.494842,6.519225,7.040474,2.381220,-9.921751,0.562432
0.020000,6.356576,1.571267,6.660471,7.084130,2.182785,-9.921751,0.581074
0.020000,6.474590,1.650378,6.802551,7.123817,1.984350,-9.921751,0.600047
0.020000,6.591689,1.732162,6.945384,7.159535,1.785915,-9.921751,0.619327
0.020000,6.707722,1.816603,7.088892,7.191285,1.587480,-9.921751,0.638888
0.020000,6.822545,1.903671,7.232996,7.219066,1.389045,-9.921751,0.658702
0.020000,6.936014,1.993330,7.377615,7.242878,1.190610,-9.921751,0.678739
0.020000,7.047993,2.085532,7.522671,7.262721,0.992175,-9.921751,0.698967
0.020000,7.158347,2.180222,7.668085,7.278596,0.793740,-9.921751,0.719351
0.020000,7.266949,2.277333,7.813775,7.290502,0.595305,-9.921751,0.739858
0.020000,7.373678,2.376792,7.959665,7.298440,0.396870,-9.921751,0.760450
0.020000,7.478419,2.478512,8.105673,7.302408,0.198435,-9.921751,0.781091
0.020000,7.581045,2.582381,8.251693,7.299551,-0.142852,-17.064361,0.801739
0.020000,7.681440,2.688275,8.397616,7.292726,-0.341287,-9.921751,0.822353
0.020000,7.779516,2.796082,8.543362,7.281931,-0.539722,-9.921751,0.842895
0.020000,7.875195,2.905684,8.688853,7.267168,-0.738157,-9.921751,0.863328
0.020000,7.968407,3.016954,8.834009,7.248436,-0.936592,-9.921751,0.883617
0.020000,8.059092,3.129761,8.978751,7.225736,-1.135027,-9.921751,0.903728
0.020000,8.147202,3.243970,9.122999,7.199066,-1.333462,-9.921751,0.923628
0.020000,8.232694,3.359438,9.266674,7.168429,-1.531897,-9.921751,0.943286
0.020000,8.315537,3.476021,9.409697,7.133822,-1.730332,-9.921751,0.962673
0.020000,8.395710,3.593572,9.551987,7.095247,-1.928767,-9.921751,0.981763
0.020000,8.473200,3.711942,9.693467,7.052702,-2.127202,-9.921751,1.000531
0.020000,8.548001,3.830978,9.834056,7.006190,-2.325637,-9.921751,1.018955
0.020000,8.620117,3.950527,9.973675,6.955708,-2.524072,-9.921751,1.037014
0.020000,8.689560,4.070439,10.112244,6.901258,-2.722507,-9.921751,1.054694
0.020000,8.756346,4.190559,10.249685,6.842839,-2.920942,-9.921751,1.071977
0.020000,8.820504,4.310737,10.385918,6.780452,-3.119377,-9.921751,1.088851
0.020000,8.882062,4.430822,10.520864,6.714095,-3.317812,-9.921751,1.105307
0.020000,8.941058,4.550665,10.654442,6.643771,-3.516247,-9.921751,1.121335
0.020000,8.997534,4.670118,10.786575,6.569477,-3.714682,-9.921751,1.136930
0.020000,9.051537,4.789038,10.917182,6.491215,-3.913117,-9.921751,1.152086
0.020000,9.103126,4.907304,11.046212,6.411841,-3.968700,-2.779140,1.166803
0.020000,9.152382,5.024843,11.173655,6.332467,-3.968700,-0.000000,1.181089
0.020000,9.199386,5.141591,11.299511,6.253093,-3.968700,0.000000,1.194949
0.020000,9.244220,5.257488,11.423779,6.173719,-3.968700,-0.000000,1.208394
0.020000,9.286961,5.372482,11.546460,6.094345,-3.968700,0.000000,1.221432
0.020000,9.327689,5.486519,11.667553,6.014971,-3.968700,-0.000000,1.234072
