dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000947,-0.950000,0.000040,0.003969,0.198435,9.921751,6.282188
0.020000,-0.000940,-0.950000,0.000047,0.000376,-0.179621,-18.902807,6.282196
0.020000,-0.000923,-0.950000,0.000064,0.000847,0.023518,10.156979,6.282214
0.020000,-0.000893,-0.950000,0.000094,0.001505,0.032929,0.470522,6.282246
0.020000,-0.000846,-0.950000,0.000141,0.002352,0.042344,0.470756,6.282295
0.020000,-0.000778,-0.950000,0.000209,0.003387,0.051767,0.471140,6.282367
0.020000,-0.000686,-0.950000,0.000301,0.004611,0.061201,0.471710,6.282464
0.020000,-0.000565,-0.950000,0.000422,0.006024,0.070651,0.472505,6.282590
0.020000,-0.000413,-0.950000,0.000574,0.007627,0.080122,0.473563,6.282751
0.020000,-0.000224,-0.950000,0.000763,0.009419,0.089621,0.474920,6.282949
0.020000,0.000086,-0.950000,0.001072,0.015486,0.303318,10.684849,0.000004
0.020000,0.006074,-0.949999,0.007061,0.299431,14.197265,694.697351,0.000290
0.020000,0.013101,-0.949996,0.014087,0.351321,2.594512,-580.137638,0.000626
0.020000,0.021247,-0.949989,0.022234,0.407337,2.800803,10.314567,0.001016
0.020000,0.030605,-0.949978,0.031592,0.467888,3.027528,11.336221,0.001464
0.020000,0.041248,-0.949959,0.042235,0.532133,3.212246,9.235903,0.001974
0.020000,0.053268,-0.949932,0.054255,0.601017,3.444214,11.598417,0.002552
0.020000,0.066742,-0.949893,0.067729,0.673683,3.633308,9.454706,0.003200
0.020000,0.081756,-0.949840,0.082743,0.750704,3.851039,10.886514,0.003924
0.020000,0.098395,-0.949768,0.099383,0.831998,4.064702,10.683163,0.004728
0.020000,0.116700,-0.949673,0.117688,0.915250,4.162616,4.895729,0.005615
0.020000,0.136671,-0.949551,0.137659,0.998564,4.165691,0.153707,0.006585
0.020000,0.158309,-0.949398,0.159297,1.081922,4.167898,0.110358,0.007639
0.020000,0.181614,-0.949206,0.182604,1.165307,4.169235,0.066854,0.008778
0.020000,0.206587,-0.948972,0.207578,1.248701,4.169699,0.023224,0.010002
0.020000,0.233231,-0.948688,0.234223,1.332280,4.178971,0.463598,0.011313
0.020000,0.261546,-0.948348,0.262540,1.415825,4.177232,-0.086950,0.012711
0.020000,0.291528,-0.947944,0.292524,1.499226,4.170040,-0.359598,0.014198
0.020000,0.323186,-0.947470,0.324186,1.583113,4.194389,1.217430,0.015774
0.020000,0.356514,-0.946916,0.357519,1.666607,4.174687,-0.985097,0.017442
0.020000,0.391516,-0.946275,0.392527,1.750425,4.190871,0.809219,0.019201
0.020000,0.428195,-0.945537,0.429213,1.834282,4.192892,0.101034,0.021054
0.020000,0.466548,-0.944692,0.467575,1.918116,4.191677,-0.060750,0.023001
0.020000,0.506577,-0.943730,0.507616,2.002056,4.196997,0.265980,0.025045
0.020000,0.548285,-0.942641,0.549338,2.086084,4.201410,0.220650,0.027187
0.020000,0.591671,-0.941412,0.592741,2.170182,4.204911,0.175055,0.029428
0.020000,0.636737,-0.940033,0.637828,2.254332,4.207496,0.129240,0.031771
0.020000,0.683483,-0.938490,0.684600,2.338614,4.214080,0.329237,0.034216
0.020000,0.731915,-0.936770,0.733062,2.423100,4.224328,0.512394,0.036768
0.020000,0.782026,-0.934860,0.783210,2.507382,4.214072,-0.512810,0.039426
0.020000,0.833826,-0.932745,0.835053,2.592153,4.238563,1.224543,0.042193
0.020000,0.887308,-0.930410,0.888586,2.676667,4.225676,-0.644359,0.045072
0.020000,0.942478,-0.927839,0.943816,2.761494,4.241383,0.785357,0.048065
0.020000,0.999338,-0.925016,1.000746,2.846471,4.248836,0.372670,0.051175
0.020000,1.057885,-0.921922,1.059375,2.931461,4.249491,0.032764,0.054404
0.020000,1.118123,-0.918541,1.119707,3.016602,4.257041,0.377491,0.057754
0.020000,1.180050,-0.914853,1.181744,3.101874,4.263618,0.328834,0.061229
0.020000,1.243669,-0.910838,1.245490,3.187258,4.269217,0.279956,0.064831
0.020000,1.308983,-0.906475,1.310949,3.272990,4.286582,0.868227,0.068565
0.020000,1.375990,-0.901743,1.378123,3.358666,4.283797,-0.139212,0.072432
0.020000,1.444689,-0.896621,1.447013,3.444494,4.291381,0.379202,0.076436
0.020000,1.515084,-0.891083,1.517626,3.530654,4.307997,0.830792,0.080582
0.020000,1.587174,-0.885106,1.589963,3.616876,4.311139,0.157069,0.084872
0.020000,1.660959,-0.878664,1.664028,3.703241,4.318259,0.356044,0.089311
0.020000,1.736438,-0.871730,1.739825,3.789862,4.331033,0.638685,0.093902
0.020000,1.813613,-0.864277,1.817360,3.876717,4.342753,0.585972,0.098649
0.020000,1.892484,-0.856276,1.896635,3.963785,4.353413,0.533030,0.103558
0.020000,1.973050,-0.847697,1.977656,4.051046,4.363014,0.480020,0.108633
0.020000,2.055308,-0.838508,2.060426,4.138477,4.371556,0.427118,0.113879
0.020000,2.139256,-0.828676,2.144948,4.226093,4.380818,0.463076,0.119299
0.020000,2.224898,-0.818167,2.231232,4.314240,4.407346,1.326446,0.124901
0.020000,2.312226,-0.806947,2.319279,4.402307,4.403365,-0.199083,0.130689
0.020000,2.401241,-0.794977,2.409095,4.490817,4.425469,1.105211,0.136668
0.020000,2.491941,-0.782218,2.500688,4.579646,4.441449,0.798996,0.142845
0.020000,2.584321,-0.768631,2.594061,4.668658,4.450620,0.458559,0.149226
0.020000,2.678376,-0.754174,2.689221,4.757985,4.466365,0.787244,0.155817
0.020000,2.774102,-0.738803,2.786173,4.847604,4.480933,0.728390,0.162624
0.020000,2.871496,-0.722473,2.884927,4.937709,4.505253,1.216033,0.169655
0.020000,2.970550,-0.705135,2.985487,5.027986,4.513828,0.428717,0.176917
0.020000,3.071256,-0.686741,3.087859,5.118617,4.531582,0.887708,0.184416
0.020000,3.173608,-0.667239,3.192052,5.209649,4.551576,0.999695,0.192161
0.020000,3.277598,-0.646576,3.298075,5.301124,4.573732,1.107824,0.200159
0.020000,3.383212,-0.624696,3.405932,5.392872,4.587401,0.683427,0.208418
0.020000,3.490442,-0.601541,3.515633,5.485045,4.608672,1.063541,0.216947
0.020000,3.599273,-0.577052,3.627185,5.577615,4.628520,0.992409,0.225754
0.020000,3.709691,-0.551164,3.740597,5.670610,4.649743,1.061139,0.234849
0.020000,3.821683,-0.523813,3.855881,5.764173,4.678130,1.419364,0.244240
0.020000,3.935226,-0.494933,3.973039,5.857908,4.686768,0.431924,0.253936
0.020000,4.050305,-0.464452,4.092086,5.952371,4.723150,1.819071,0.263948
0.020000,4.166895,-0.432297,4.213029,6.047138,4.738319,0.758443,0.274284
0.020000,4.284971,-0.398394,4.335877,6.142379,4.762057,1.186934,0.284954
0.020000,4.404508,-0.362665,4.460639,6.238101,4.786110,1.202632,0.295969
0.020000,4.525473,-0.325028,4.587324,6.334265,4.808207,1.104847,0.307339
0.020000,4.647838,-0.285401,4.715945,6.431059,4.839673,1.573293,0.319073
0.020000,4.771561,-0.243697,4.846508,6.528131,4.853616,0.697162,0.331182
0.020000,4.896606,-0.199828,4.979025,6.625844,4.885639,1.601130,0.343675
0.020000,5.022926,-0.153703,5.113503,6.723893,4.902492,0.842678,0.356562
0.020000,5.150474,-0.105229,5.249952,6.822445,4.927598,1.255297,0.369853
0.020000,5.279198,-0.054309,5.388380,6.921438,4.949630,1.101611,0.383557
0.020000,5.409038,-0.000846,5.528796,7.020810,4.968581,0.947556,0.397683
0.020000,5.539933,0.055259,5.671209,7.120641,4.991581,1.149953,0.412239
0.020000,5.671814,0.114109,5.815625,7.220769,5.006400,0.740964,0.427232
0.020000,5.804567,0.175786,5.962006,7.319079,4.915496,-4.545191,0.442665
0.020000,5.938033,0.240353,6.110269,7.413157,4.703880,-10.580806,0.458534
0.020000,6.072048,0.307866,6.260330,7.503019,4.493087,-10.539650,0.474832
0.020000,6.206445,0.378378,6.412101,7.588543,4.276199,-10.844393,0.491553
0.020000,6.341052,0.451931,6.565493,7.669612,4.053449,-11.137489,0.508686
