dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.546519,11.002486,0.000040,0.003960,0.198019,9.900963,0.001598
0.020000,5.546572,11.002486,0.000092,0.002640,-0.066043,-13.203112,0.001542
0.020000,5.546691,11.002487,0.000211,0.005938,0.164939,11.549117,0.001417
0.020000,5.546902,11.002487,0.000422,0.010555,0.230828,3.294453,0.001195
0.020000,5.547232,11.002487,0.000752,0.016487,0.296584,3.287794,0.000848
0.020000,5.547706,11.002488,0.001227,0.023729,0.362122,3.276871,0.000348
0.020000,5.549297,11.002487,0.002818,0.079563,2.791679,121.477852,6.282854
0.020000,5.552675,11.002485,0.006195,0.168856,4.464666,83.649341,6.281967
0.020000,5.556948,11.002477,0.010468,0.213656,2.239987,-111.233911,6.280846
0.020000,5.562221,11.002461,0.015742,0.263684,2.501432,13.072209,6.279464
0.020000,5.568600,11.002432,0.022120,0.318935,2.762562,13.056499,6.277794
0.020000,5.576187,11.002384,0.029708,0.379380,3.022233,12.983565,6.275810
0.020000,5.585087,11.002308,0.038608,0.444987,3.280320,12.904342,6.273487
0.020000,5.595401,11.002194,0.048923,0.515749,3.538139,12.890989,6.270800
0.020000,5.607232,11.002029,0.060755,0.591595,3.792261,12.706097,6.267725
0.020000,5.620680,11.001798,0.074204,0.672492,4.044859,12.629900,6.264240
0.020000,5.635845,11.001481,0.089373,0.758403,4.295559,12.534969,6.260321
0.020000,5.652824,11.001055,0.106357,0.849233,4.541509,12.297494,6.255950
0.020000,5.671714,11.000495,0.125256,0.944938,4.785257,12.187415,6.251106
0.020000,5.692610,10.999768,0.146164,1.045413,5.023734,11.923845,6.245772
0.020000,5.715551,10.998843,0.169124,1.147966,5.127679,5.197266,6.239947
0.020000,5.740522,10.997683,0.194121,1.249893,5.096304,-1.568775,6.233644
0.020000,5.767506,10.996254,0.221144,1.351126,5.061648,-1.732779,6.226877
0.020000,5.796486,10.994515,0.250175,1.451574,5.022443,-1.960246,6.219663
0.020000,5.827439,10.992427,0.281199,1.551163,4.979449,-2.149729,6.212020
0.020000,5.860341,10.989948,0.314194,1.649787,4.931199,-2.412472,6.203968
0.020000,5.895167,10.987036,0.349142,1.747371,4.879198,-2.600067,6.195529
0.020000,5.931887,10.983645,0.386018,1.843806,4.821721,-2.873827,6.186727
0.020000,5.970469,10.979734,0.424798,1.939004,4.759912,-3.090479,6.177589
0.020000,6.010879,10.975257,0.465455,2.032859,4.692753,-3.357945,6.168143
0.020000,6.053079,10.970172,0.507961,2.125277,4.620911,-3.592108,6.158418
0.020000,6.097030,10.964437,0.552284,2.216167,4.544469,-3.822078,6.148447
0.020000,6.142688,10.958010,0.598393,2.305423,4.462809,-4.083025,6.138265
0.020000,6.190009,10.950852,0.646252,2.392960,4.376886,-4.296126,6.127907
0.020000,6.238946,10.942927,0.695826,2.478692,4.286556,-4.516498,6.117412
0.020000,6.289448,10.934201,0.747076,2.562533,4.192083,-4.723664,6.106820
0.020000,6.341465,10.924644,0.799964,2.644410,4.093820,-4.913154,6.096171
0.020000,6.394945,10.914227,0.854450,2.724254,3.992207,-5.080638,6.085509
