dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.548037,10.052488,0.000040,0.003960,0.198019,9.900963,0.001598
0.020000,5.548037,10.052488,0.000198,0.011881,0.396039,9.900963,0.001542
0.020000,5.548037,10.052488,0.000554,0.023762,0.594058,9.900963,0.001417
0.020000,5.548037,10.052488,0.001188,0.039604,0.792077,9.900963,0.001195
0.020000,5.548037,10.052488,0.002178,0.059406,0.990096,9.900963,0.000848
0.020000,5.548037,10.052488,0.003604,0.083168,1.188116,9.900963,0.000348
0.020000,5.548983,10.052487,0.005545,0.110891,1.386135,9.900963,6.282854
0.020000,5.551518,10.052485,0.008079,0.142574,1.584154,9.900963,6.281967
0.020000,5.554726,10.052480,0.011287,0.178217,1.782173,9.900963,6.280846
0.020000,5.558686,10.052468,0.015247,0.217821,1.980193,9.900963,6.279464
0.020000,5.563478,10.052446,0.020040,0.261385,2.178212,9.900963,6.277794
0.020000,5.569181,10.052410,0.025743,0.308910,2.376231,9.900963,6.275810
0.020000,5.575873,10.052352,0.032436,0.360395,2.574250,9.900963,6.273487
0.020000,5.583635,10.052267,0.040198,0.415840,2.772270,9.900963,6.270800
0.020000,5.592545,10.052143,0.049109,0.475246,2.970289,9.900963,6.267725
0.020000,5.602682,10.051968,0.059247,0.538612,3.168308,9.900963,6.264240
0.020000,5.614125,10.051729,0.070693,0.605939,3.366327,9.900963,6.260321
0.020000,5.626953,10.051407,0.083525,0.677226,3.564347,9.900963,6.255950
0.020000,5.641244,10.050983,0.097822,0.752473,3.762366,9.900963,6.251106
0.020000,5.657076,10.050433,0.113663,0.831681,3.960385,9.900963,6.245772
0.020000,5.674487,10.049731,0.131089,0.910889,3.960385,0.000000,6.239947
0.020000,5.693477,10.048849,0.150099,0.990096,3.960385,0.000000,6.233644
0.020000,5.714042,10.047759,0.170693,1.069304,3.960385,-0.000000,6.226877
0.020000,5.736180,10.046431,0.192871,1.148512,3.960385,0.000000,6.219663
0.020000,5.759888,10.044832,0.216633,1.227719,3.960385,0.000000,6.212020
0.020000,5.785163,10.042928,0.241980,1.306927,3.960385,0.000000,6.203968
0.020000,5.812000,10.040683,0.268910,1.386135,3.960385,-0.000000,6.195529
0.020000,5.840394,10.038061,0.297425,1.465342,3.960385,0.000000,6.186727
0.020000,5.870339,10.035025,0.327524,1.544550,3.960385,0.000000,6.177589
0.020000,5.901829,10.031537,0.359207,1.623758,3.960385,-0.000000,6.168143
0.020000,5.934858,10.027557,0.392474,1.702966,3.960385,-0.000000,6.158418
0.020000,5.969416,10.023047,0.427326,1.782173,3.960385,0.000000,6.148447
0.020000,6.005495,10.017968,0.463761,1.861381,3.960385,0.000000,6.138265
0.020000,6.043087,10.012282,0.501781,1.940589,3.960385,-0.000000,6.127907
0.020000,6.082182,10.005951,0.541385,2.019796,3.960385,0.000000,6.117412
0.020000,6.122768,9.998938,0.582573,2.099004,3.960385,-0.000000,6.106820
0.020000,6.164836,9.991208,0.625345,2.178212,3.960385,0.000000,6.096171
0.020000,6.208374,9.982728,0.669701,2.257419,3.960385,-0.000000,6.085509
0.020000,6.253370,9.973464,0.715642,2.336627,3.960385,-0.000000,6.074878
0.020000,6.299814,9.963389,0.763166,2.415835,3.960385,0.000000,6.064322
0.020000,6.347695,9.952475,0.812275,2.495043,3.960385,0.000000,6.053889
0.020000,6.397000,9.940697,0.862968,2.574250,3.960385,-0.000000,6.043625
0.020000,6.447721,9.928036,0.915245,2.653458,3.960385,0.000000,6.033578
0.020000,6.499846,9.914474,0.969106,2.732666,3.960385,0.000000,6.023796
0.020000,6.553368,9.899996,1.024552,2.811873,3.960385,0.000000,6.014327
0.020000,6.608278,9.884594,1.081581,2.891081,3.960385,0.000000,6.005222
0.020000,6.664570,9.868263,1.140195,2.970289,3.960385,0.000000,5.996528
0.020000,6.722240,9.851001,1.200393,3.049496,3.960385,0.000000,5.988296
0.020000,6.781284,9.832814,1.262175,3.128704,3.960385,0.000000,5.980576
0.020000,6.841702,9.813710,1.325541,3.207912,3.960385,-0.000000,5.973417
0.020000,6.903494,9.793704,1.390491,3.287120,3.960385,-0.000000,5.966871
0.020000,6.966665,9.772817,1.457026,3.366327,3.960385,0.000000,5.960989
0.020000,7.031221,9.751076,1.525144,3.445535,3.960385,-0.000000,5.955822
0.020000,7.097171,9.728513,1.594847,3.524743,3.960385,0.000000,5.951426
0.020000,7.164527,9.705169,1.666134,3.603950,3.960385,0.000000,5.947854
0.020000,7.233305,9.681090,1.739005,3.683158,3.960385,-0.000000,5.945163
0.020000,7.303523,9.656332,1.813460,3.762366,3.960385,0.000000,5.943411
0.020000,7.375204,9.630957,1.889500,3.841573,3.960385,0.000000,5.942660
0.020000,7.448372,9.605037,1.967123,3.920781,3.960385,-0.000000,5.942975
0.020000,7.523057,9.578653,2.046331,3.999989,3.960385,0.000000,5.944422
0.020000,7.599290,9.551898,2.127123,4.079197,3.960385,0.000000,5.947073
0.020000,7.677106,9.524873,2.209499,4.158404,3.960385,-0.000000,5.951003
0.020000,7.756546,9.497695,2.293459,4.237612,3.960385,0.000000,5.956292
0.020000,7.837649,9.470490,2.379003,4.316820,3.960385,0.000000,5.963025
0.020000,7.920459,9.443401,2.466132,4.396027,3.960385,-0.000000,5.971292
0.020000,8.005022,9.416586,2.554844,4.475235,3.960385,0.000000,5.981187
0.020000,8.091383,9.390220,2.645141,4.554443,3.960385,0.000000,5.992808
0.020000,8.179588,9.364494,2.737022,4.633650,3.960385,0.000000,6.006257
0.020000,8.269681,9.339620,2.830487,4.712858,3.960385,0.000000,6.021640
0.020000,8.361704,9.315829,2.925536,4.792066,3.960385,0.000000,6.039059
0.020000,8.455691,9.293376,3.022170,4.871274,3.960385,0.000000,6.058617
0.020000,8.551670,9.272534,3.120387,4.950481,3.960385,-0.000000,6.080407
0.020000,8.649656,9.253599,3.220189,5.029689,3.960385,0.000000,6.104512
0.020000,8.749652,9.236887,3.321575,5.108897,3.960385,-0.000000,6.130997
0.020000,8.851641,9.222732,3.424545,5.188104,3.960385,-0.000000,6.159898
0.020000,8.955584,9.211485,3.529099,5.267312,3.960385,0.000000,6.191221
0.020000,9.061417,9.203504,3.635237,5.346520,3.960385,-0.000000,6.224924
0.020000,9.169046,9.199153,3.742960,5.425727,3.960385,0.000000,6.260917
0.020000,9.278345,9.198789,3.852267,5.504935,3.960385,0.000000,0.015861
0.020000,9.389157,9.202757,3.963157,5.584143,3.960385,-0.000000,0.055915
0.020000,9.501293,9.211373,4.075632,5.663351,3.960385,-0.000000,0.097614
0.020000,9.614536,9.224922,4.189691,5.742558,3.960385,0.000000,0.140624
0.020000,9.728645,9.243639,4.305335,5.821766,3.960385,-0.000000,0.184564
0.020000,9.843365,9.267709,4.422562,5.900974,3.960385,0.000000,0.229024
0.020000,9.958433,9.297258,4.541374,5.980181,3.960385,0.000000,0.273582
0.020000,10.066588,9.329674,4.661769,6.059389,3.960385,-0.000000,0.297880
0.020000,10.183281,9.365199,4.783749,6.138597,3.960385,0.000000,0.293341
0.020000,10.301632,9.400710,4.907313,6.217804,3.960385,0.000000,0.289836
0.020000,10.421607,9.436319,5.032461,6.297012,3.960385,-0.000000,0.287377
0.020000,10.543171,9.472143,5.159194,6.376220,3.960385,0.000000,0.285982
0.020000,10.666285,9.508311,5.287510,6.455428,3.960385,0.000000,0.285677
0.020000,10.790909,9.544958,5.417411,6.534635,3.960385,-0.000000,0.286502
0.020000,10.917001,9.582229,5.548895,6.613843,3.960385,-0.000000,0.288507
0.020000,11.044512,9.620284,5.681964,6.693051,3.960385,0.000000,0.291756
0.020000,11.173390,9.659296,5.816617,6.772258,3.960385,-0.000000,0.296326
0.020000,11.303537,9.699441,5.952815,6.847506,3.762366,-9.900963,0.302314
0.020000,11.434807,9.740904,6.090478,6.918793,3.564347,-9.900963,0.309830
0.020000,11.567045,9.783889,6.229527,6.986119,3.366327,-9.900963,0.319007
0.020000,11.700082,9.828620,6.369883,7.049485,3.168308,-9.900963,0.330003
0.020000,11.833731,9.875347,6.511467,7.108891,2.970289,-9.900963,0.343003
0.020000,11.967788,9.924346,6.654199,7.164337,2.772270,-9.900963,0.358228
0.020000,12.102018,9.975927,6.798001,7.215822,2.574250,-9.900963,0.375940
0.020000,12.236157,10.030433,6.942793,7.263346,2.376231,-9.900963,0.396450
0.020000,12.369895,10.088245,7.088495,7.306910,2.178212,-9.900963,0.420123
0.020000,12.502874,10.149788,7.235029,7.346514,1.980193,-9.900963,0.447391
0.020000,12.634667,10.215532,7.382316,7.382158,1.782173,-9.900963,0.478756
0.020000,12.764763,10.285992,7.530276,7.413841,1.584154,-9.900963,0.514797
0.020000,12.892549,10.361729,7.678830,7.441563,1.386135,-9.900963,0.556163
0.020000,13.017282,10.443332,7.827899,7.465326,1.188116,-9.900963,0.603557
0.020000,13.138067,10.531407,7.977404,7.485128,0.990096,-9.900963,0.657694
0.020000,13.253835,10.626532,8.127265,7.500969,0.792077,-9.900963,0.719212
0.020000,13.363337,10.729205,8.277403,7.512850,0.594058,-9.900963,0.788543
0.020000,13.465158,10.839759,8.427739,7.520771,0.396039,-9.900963,0.865716
0.020000,13.557783,10.958266,8.578194,7.524732,0.198019,-9.900963,0.950138
0.020000,13.639697,11.084409,8.728651,7.521005,-0.186308,-19.216338,1.040395
0.020000,13.709585,11.217458,8.878995,7.513319,-0.384327,-9.900963,1.134265
0.020000,13.766529,11.356330,9.029144,7.501672,-0.582346,-9.900963,1.228978
0.020000,13.810119,11.499672,9.179022,7.486065,-0.780365,-9.900963,1.321657
0.020000,13.840491,11.646030,9.328547,7.466497,-0.978385,-9.900963,1.409815
0.020000,13.858259,11.794020,9.477642,7.442969,-1.176404,-9.900963,1.491694
0.020000,13.864373,11.942444,9.626227,7.415480,-1.374423,-9.900963,1.566360
0.020000,13.859970,12.090345,9.774222,7.384032,-1.572442,-9.900963,1.633578
0.020000,13.846239,12.237009,9.921548,7.348622,-1.770462,-9.900963,1.693608
0.020000,13.824336,12.381923,10.068127,7.309253,-1.968481,-9.900963,1.746993
0.020000,13.795333,12.524745,10.213879,7.265923,-2.166500,-9.900963,1.794408
0.020000,13.760192,12.665254,10.358724,7.218632,-2.364519,-9.900963,1.836549
0.020000,13.719768,12.803307,10.502584,7.167382,-2.562539,-9.900963,1.874077
0.020000,13.674807,12.938832,10.645380,7.112170,-2.760558,-9.900963,1.907591
0.020000,13.625963,13.071790,10.787032,7.052999,-2.958577,-9.900963,1.937621
0.020000,13.573806,13.202170,10.927460,6.989867,-3.156596,-9.900963,1.964623
0.020000,13.518836,13.329972,11.066587,6.922775,-3.354616,-9.900963,1.988989
0.020000,13.461493,13.455210,11.204332,6.851722,-3.552635,-9.900963,2.011055
0.020000,13.402161,13.577902,11.340616,6.776709,-3.750654,-9.900963,2.031106
0.020000,13.341190,13.698060,11.475360,6.697735,-3.948673,-9.900963,2.049385
0.020000,13.278869,13.815734,11.608523,6.618528,-3.960385,-0.585587,2.066105
0.020000,13.215433,13.931009,11.740102,6.539320,-3.960385,0.000000,2.081450
0.020000,13.151089,14.043964,11.870096,6.460112,-3.960385,-0.000000,2.095581
0.020000,13.113057,14.109042,11.998506,6.380905,-3.960385,0.000000,5.243779
0.020000,13.176331,13.999129,12.125332,6.301697,-3.960385,0.000000,5.225988
0.020000,13.236984,13.889555,12.250574,6.222489,-3.960385,-0.000000,5.210186
0.020000,13.295257,13.780490,12.374232,6.143281,-3.960385,-0.000000,5.196287
0.020000,13.351381,13.672084,12.496305,6.064074,-3.960385,0.000000,5.184206
0.020000,13.405574,13.564470,12.616795,5.984866,-3.960385,-0.000000,5.173859
0.020000,13.458041,13.457767,12.735700,5.905658,-3.960385,0.000000,5.165164
0.020000,13.508976,13.352080,12.853021,5.826451,-3.960385,0.000000,5.158042
0.020000,13.558558,13.247502,12.968758,5.747243,-3.960385,-0.000000,5.152420
0.020000,13.606956,13.144116,13.082911,5.668035,-3.960385,-0.000000,5.148225
0.020000,13.654323,13.041999,13.195479,5.588828,-3.960385,0.000000,5.145394
0.020000,13.700805,12.941217,13.306464,5.509620,-3.960385,0.000000,5.143865
0.020000,13.746533,12.841832,13.415864,5.430412,-3.960385,-0.000000,5.143581
0.020000,13.791630,12.743900,13.523680,5.351204,-3.960385,0.000000,5.144488
0.020000,13.836207,12.647474,13.629912,5.271997,-3.960385,-0.000000,5.146537
0.020000,13.880366,12.552599,13.734560,5.192789,-3.960385,-0.000000,5.149680
0.020000,13.924200,12.459321,13.837624,5.113581,-3.960385,0.000000,5.153873
0.020000,13.967790,12.367681,13.939103,5.034374,-3.960385,-0.000000,5.159073
0.020000,14.011212,12.277717,14.038999,4.955166,-3.960385,0.000000,5.165240
0.020000,14.054532,12.189465,14.137310,4.875958,-3.960385,-0.000000,5.172333
0.020000,14.097807,12.102958,14.234037,4.796751,-3.960385,0.000000,5.180315
0.020000,14.141088,12.018230,14.329180,4.717543,-3.960385,0.000000,5.189146
0.020000,14.184415,11.935309,14.422739,4.638335,-3.960385,0.000000,5.198788
0.020000,14.227825,11.854223,14.514713,4.559127,-3.960385,0.000000,5.209202
0.020000,14.271343,11.774999,14.605104,4.479920,-3.960385,0.000000,5.220348
0.020000,14.314991,11.697660,14.693910,4.400712,-3.960385,0.000000,5.232186
0.020000,14.358781,11.622227,14.781132,4.321504,-3.960385,0.000000,5.244675
0.020000,14.402719,11.548721,14.866770,4.242297,-3.960385,0.000000,5.257771
0.020000,14.446806,11.477158,14.950824,4.163089,-3.960385,-0.000000,5.271430
0.020000,14.491036,11.407552,15.033294,4.083881,-3.960385,0.000000,5.285606
0.020000,14.535395,11.339917,15.114180,4.004674,-3.960385,0.000000,5.300251
0.020000,14.579866,11.274259,15.193481,3.925466,-3.960385,-0.000000,5.315318
0.020000,14.624425,11.210585,15.271198,3.846258,-3.960385,0.000000,5.330757
0.020000,14.669043,11.148898,15.347331,3.767050,-3.960385,-0.000000,5.346517
0.020000,14.713688,11.089197,15.421880,3.687843,-3.960385,0.000000,5.362545
0.020000,14.758322,11.031477,15.494845,3.608635,-3.960385,-0.000000,5.378791
0.020000,14.802903,10.975731,15.566226,3.529427,-3.960385,-0.000000,5.395203
0.020000,14.847386,10.921947,15.636022,3.450220,-3.960385,0.000000,5.411727
0.020000,14.891724,10.870111,15.704234,3.371012,-3.960385,0.000000,5.428315
0.020000,14.935867,10.820205,15.770863,3.291804,-3.960385,-0.000000,5.444915
0.020000,14.979762,10.772207,15.835907,3.212597,-3.960385,0.000000,5.461479
0.020000,15.023356,10.726092,15.899366,3.133389,-3.960385,0.000000,5.477960
0.020000,15.066595,10.681832,15.961242,3.054181,-3.960385,-0.000000,5.494314
0.020000,15.109423,10.639396,16.021534,2.974973,-3.960385,0.000000,5.510497
0.020000,15.151784,10.598752,16.080241,2.895766,-3.960385,0.000000,5.526471
0.020000,15.193624,10.559862,16.137364,2.816558,-3.960385,0.000000,5.542198
0.020000,15.234889,10.522690,16.192903,2.737350,-3.960385,0.000000,5.557644
0.020000,15.275523,10.487195,16.246858,2.658143,-3.960385,0.000000,5.572778
0.020000,15.315476,10.453337,16.299229,2.578935,-3.960385,-0.000000,5.587572
0.020000,15.354697,10.421072,16.350016,2.499727,-3.960385,0.000000,5.602002
0.020000,15.393134,10.390358,16.399218,2.420520,-3.960385,-0.000000,5.616044
0.020000,15.430743,10.361150,16.446836,2.341312,-3.960385,0.000000,5.629679
0.020000,15.467476,10.333405,16.492871,2.262104,-3.960385,0.000000,5.642892
0.020000,15.503290,10.307077,16.537321,2.182896,-3.960385,0.000000,5.655668
0.020000,15.538143,10.282123,16.580186,2.103689,-3.960385,0.000000,5.667995
0.020000,15.571997,10.258500,16.621468,2.024481,-3.960385,0.000000,5.679865
0.020000,15.604814,10.236163,16.661166,1.945273,-3.960385,-0.000000,5.691270
0.020000,15.636559,10.215071,16.699279,1.866066,-3.960385,-0.000000,5.702204
0.020000,15.667199,10.195183,16.735808,1.786858,-3.960385,0.000000,5.712664
0.020000,15.696703,10.176457,16.770753,1.707650,-3.960385,0.000000,5.722648
0.020000,15.725043,10.158855,16.804114,1.628443,-3.960385,-0.000000,5.732153
0.020000,15.752191,10.142341,16.835891,1.549235,-3.960385,0.000000,5.741181
0.020000,15.778122,10.126877,16.866084,1.470027,-3.960385,0.000000,5.749732
0.020000,15.802814,10.112429,16.894692,1.390819,-3.960385,0.000000,5.757808
0.020000,15.826245,10.098964,16.921717,1.311612,-3.960385,0.000000,5.765411
0.020000,15.848396,10.086451,16.947157,1.232404,-3.960385,-0.000000,5.772544
0.020000,15.869247,10.074861,16.971013,1.153196,-3.960385,0.000000,5.779210
0.020000,15.888783,10.064167,16.993285,1.073989,-3.960385,0.000000,5.785412
0.020000,15.906988,10.054341,17.013972,0.994781,-3.960385,-0.000000,5.791153
0.020000,15.923850,10.045361,17.033076,0.915573,-3.960385,0.000000,5.796438
0.020000,15.939354,10.037204,17.050595,0.836366,-3.960385,-0.000000,5.801270
0.020000,15.953491,10.029849,17.066530,0.757158,-3.960385,0.000000,5.805652
0.020000,15.966282,10.023262,17.080919,0.681676,-3.774078,9.315376,5.809599
0.020000,15.977789,10.017390,17.093837,0.610155,-3.576058,9.900963,5.813133
0.020000,15.988075,10.012185,17.105365,0.542594,-3.378039,9.900963,5.816280
0.020000,15.997203,10.007600,17.115580,0.478994,-3.180020,9.900963,5.819062
0.020000,16.005242,10.003588,17.124564,0.419354,-2.982001,9.900963,5.821505
0.020000,16.012256,10.000107,17.132394,0.363674,-2.783981,9.900963,5.823631
0.020000,16.018314,9.997116,17.139151,0.311955,-2.585962,9.900963,5.825462
0.020000,16.023484,9.994574,17.144912,0.264196,-2.387943,9.900963,5.827022
0.020000,16.027836,9.992442,17.149758,0.220398,-2.189924,9.900963,5.828332
0.020000,16.031439,9.990683,17.153768,0.180560,-1.991904,9.900963,5.829416
0.020000,16.034363,9.989258,17.157020,0.144682,-1.793885,9.900963,5.830294
0.020000,16.036678,9.988133,17.159594,0.112765,-1.595866,9.900963,5.830989
0.020000,16.038455,9.987270,17.161570,0.084808,-1.397846,9.900963,5.831521
0.020000,16.039766,9.986635,17.163026,0.060811,-1.199827,9.900963,5.831914
0.020000,16.040680,9.986192,17.164042,0.040775,-1.001808,9.900963,5.832188
0.020000,16.041270,9.985906,17.164697,0.024699,-0.803789,9.900963,5.832364
0.020000,16.041605,9.985744,17.165070,0.012584,-0.605769,9.900963,5.832465
0.020000,16.041758,9.985670,17.165240,0.004429,-0.407750,9.900963,5.832511
0.020000,16.041800,9.985649,17.165287,0.000234,-0.209731,9.900963,5.832523
0.020000,16.041803,9.985648,17.165289,0.000000,-0.011712,9.900963,5.832524
0.020000,16.041803,9.985648,17.165289,0.000000,0.000000,0.585587,5.832524
