dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.549555,9.102489,0.000040,0.003960,0.198019,9.900963,0.001598
0.020000,5.549502,9.102489,0.000092,0.002640,-0.066043,-13.203112,0.001542
0.020000,5.549384,9.102489,0.000211,0.005938,0.164939,11.549117,0.001417
0.020000,5.549173,9.102488,0.000422,0.010555,0.230828,3.294453,0.001195
0.020000,5.548843,9.102488,0.000752,0.016487,0.296584,3.287794,0.000848
0.020000,5.548368,9.102488,0.001227,0.023729,0.362122,3.276871,0.000348
0.020000,5.548668,9.102487,0.001527,0.015007,-0.436095,-39.910816,6.282854
0.020000,5.550361,9.102486,0.003219,0.084610,3.480140,195.811722,6.281967
0.020000,5.552503,9.102482,0.005362,0.107139,1.126462,-117.683893,6.280846
0.020000,5.555150,9.102474,0.008009,0.132352,1.260646,6.709181,6.279464
0.020000,5.558356,9.102460,0.011214,0.160272,1.395975,6.766482,6.277794
0.020000,5.562174,9.102435,0.015032,0.190915,1.532194,6.810925,6.275810
0.020000,5.566660,9.102397,0.019519,0.224307,1.669601,6.870371,6.273487
0.020000,5.571870,9.102340,0.024728,0.260493,1.809280,6.983946,6.270800
0.020000,5.577859,9.102256,0.030718,0.299493,1.949977,7.034850,6.267725
0.020000,5.584685,9.102139,0.037546,0.341359,2.093331,7.167695,6.264240
0.020000,5.592406,9.101977,0.045269,0.386155,2.239775,7.322208,6.260321
0.020000,5.601082,9.101760,0.053947,0.433926,2.388560,7.439258,6.255950
0.020000,5.610773,9.101472,0.063642,0.484761,2.541775,7.660730,6.251106
0.020000,5.621541,9.101098,0.074417,0.538736,2.698742,7.848362,6.245772
0.020000,5.633424,9.100618,0.086309,0.594603,2.793316,4.728688,6.239947
0.020000,5.646431,9.100014,0.099331,0.651086,2.824163,1.542363,6.233644
0.020000,5.660577,9.099265,0.113496,0.708270,2.859212,1.752439,6.226877
0.020000,5.675874,9.098347,0.128821,0.766233,2.898122,1.945525,6.219663
0.020000,5.692338,9.097237,0.145322,0.825065,2.941598,2.173785,6.212020
0.020000,5.709985,9.095907,0.163019,0.884847,2.989141,2.377143,6.203968
0.020000,5.728833,9.094330,0.181933,0.945683,3.041794,2.632626,6.195529
0.020000,5.748901,9.092478,0.202086,1.007660,3.098828,2.851726,6.186727
0.020000,5.770209,9.090317,0.223504,1.070880,3.160999,3.108524,6.177589
0.020000,5.792780,9.087816,0.246212,1.135436,3.227822,3.341170,6.168143
0.020000,5.816636,9.084942,0.270241,1.201429,3.299660,3.591899,6.158418
0.020000,5.841801,9.081657,0.295620,1.268959,3.376484,3.841188,6.148447
0.020000,5.868302,9.077926,0.322382,1.338114,3.457771,4.064366,6.138265
0.020000,5.896165,9.073712,0.350562,1.408991,3.543812,4.302065,6.127907
0.020000,5.925418,9.068974,0.380196,1.481674,3.634189,4.518839,6.117412
0.020000,5.956088,9.063675,0.411321,1.556247,3.728635,4.722312,6.106820
0.020000,5.988206,9.057773,0.443976,1.632785,3.826869,4.911693,6.096171
0.020000,6.021802,9.051228,0.478203,1.711357,3.928607,5.086913,6.085509
0.020000,6.056906,9.044001,0.514044,1.792023,4.033310,5.235106,6.074878
0.020000,6.093550,9.036052,0.551541,1.874839,4.140798,5.374422,6.064322
0.020000,6.131767,9.027340,0.590738,1.959850,4.250573,5.488737,6.053889
0.020000,6.171588,9.017827,0.631680,2.047095,4.362256,5.584173,6.043625
0.020000,6.213048,9.007477,0.674412,2.136607,4.475570,5.665701,6.033578
0.020000,6.256180,8.996254,0.718980,2.228406,4.589968,5.719879,6.023796
0.020000,6.301019,8.984125,0.765430,2.322518,4.705600,5.781622,6.014327
0.020000,6.347600,8.971059,0.813809,2.418954,4.821811,5.810534,6.005222
0.020000,6.395961,8.957028,0.864164,2.517735,4.939048,5.861873,5.996528
0.020000,6.446138,8.942009,0.916541,2.618869,5.056664,5.880774,5.988296
0.020000,6.498173,8.925980,0.970989,2.722374,5.175245,5.929044,5.980576
0.020000,6.552106,8.908926,1.027554,2.828261,5.294354,5.955486,5.973417
0.020000,6.607982,8.890835,1.086285,2.936564,5.415166,6.040553,5.966871
0.020000,6.665847,8.871702,1.147231,3.047306,5.537077,6.095590,5.960989
0.020000,6.725751,8.851527,1.210442,3.160535,5.661474,6.219832,5.955822
0.020000,6.787749,8.830316,1.275968,3.276299,5.788199,6.336241,5.951426
0.020000,6.851899,8.808083,1.343862,3.394668,5.918471,6.513615,5.947854
0.020000,6.918264,8.784849,1.414176,3.515723,6.052730,6.712934,5.945163
0.020000,6.986913,8.760643,1.486967,3.639567,6.192185,6.972770,5.943411
0.020000,7.057921,8.735506,1.562294,3.766317,6.337491,7.265278,5.942660
0.020000,7.131371,8.709486,1.640216,3.896113,6.489821,7.616507,5.942975
0.020000,7.207351,8.682645,1.720798,4.029115,6.650120,8.014935,5.944422
0.020000,7.285961,8.655056,1.804108,4.165502,6.819355,8.461766,5.947073
0.020000,7.367305,8.626807,1.890218,4.305475,6.998615,8.963008,5.951003
0.020000,7.451498,8.598003,1.979203,4.449243,7.188416,9.490072,5.956292
0.020000,7.538666,8.568764,2.071143,4.597039,7.389780,10.068200,5.963025
0.020000,7.628941,8.539235,2.166125,4.749084,7.602275,10.624749,5.971292
0.020000,7.722464,8.509580,2.264237,4.905607,7.826129,11.192661,5.981187
0.020000,7.819384,8.479991,2.365574,5.066817,8.060488,11.717987,5.992808
0.020000,7.919856,8.450689,2.470231,5.232867,8.302501,12.100648,6.006257
0.020000,8.024036,8.421928,2.578308,5.403864,8.549895,12.369700,6.021640
0.020000,8.132081,8.393998,2.689904,5.579807,8.797125,12.361487,6.039059
0.020000,8.244139,8.367230,2.805116,5.760560,9.037674,12.027454,6.058617
0.020000,8.360347,8.341999,2.924031,5.945791,9.261534,11.192975,6.080407
0.020000,8.480818,8.318722,3.046730,6.134937,9.457310,9.788792,6.104512
0.020000,8.605630,8.297867,3.173272,6.327119,9.609109,7.589947,6.130997
0.020000,8.734815,8.279943,3.303695,6.521107,9.699357,4.512401,6.159898
0.020000,8.868341,8.265500,3.438000,6.715257,9.707509,0.407638,6.191221
0.020000,9.006100,8.255116,3.576150,6.907501,9.612211,-4.764896,6.224924
0.020000,9.147892,8.249389,3.718057,7.095376,9.393765,-10.922310,6.260917
0.020000,9.293413,8.248909,3.863578,7.276059,9.034140,-17.981241,0.015861
0.020000,9.442248,8.254241,4.012510,7.446566,8.525352,-25.439399,0.055915
0.020000,9.593879,8.265896,4.164588,7.603899,7.866653,-32.934986,0.097614
0.020000,9.747689,8.284299,4.319495,7.745339,7.071979,-39.733679,0.140624
0.020000,9.902987,8.309774,4.476868,7.868696,6.167849,-45.206505,0.184564
0.020000,10.059040,8.342515,4.636319,7.972549,5.192683,-48.758289,0.229024
0.020000,10.215106,8.382589,4.797448,8.056417,4.193372,-49.965556,0.273582
0.020000,10.345408,8.421512,4.933439,6.799554,-62.843146,-3351.825902,0.297880
0.020000,10.457975,8.455780,5.051106,5.883370,-45.809212,851.696718,0.293341
0.020000,10.573138,8.490334,5.171341,6.011751,6.419052,2611.413157,0.289836
0.020000,10.690874,8.525278,5.294153,6.140604,6.442646,1.179747,0.287377
0.020000,10.811165,8.560727,5.419560,6.270321,6.485878,2.161583,0.285982
0.020000,10.934002,8.596814,5.547587,6.401367,6.552279,3.320062,0.285677
0.020000,11.059378,8.633682,5.678272,6.534232,6.643268,4.549426,0.286502
0.020000,11.187296,8.671493,5.811661,6.669476,6.762200,5.946613,0.288507
0.020000,11.317765,8.710431,5.947816,6.807747,6.913559,7.567959,0.291756
0.020000,11.450798,8.750701,6.086811,6.949757,7.100461,9.345090,0.296326
0.020000,11.586380,8.792523,6.228697,7.094283,7.226318,6.292820,0.302314
0.020000,11.724459,8.836138,6.373500,7.240163,7.294010,3.384645,0.309830
0.020000,11.864988,8.881819,6.521267,7.388348,7.409265,5.762747,0.319007
0.020000,12.007925,8.929880,6.672068,7.540059,7.585547,8.814091,0.330003
0.020000,12.153232,8.980685,6.826001,7.696628,7.828431,12.144174,0.343003
0.020000,12.300872,9.034653,6.983196,7.859739,8.155528,16.354850,0.358228
0.020000,12.450808,9.092272,7.143822,8.031291,8.577611,21.104164,0.375940
0.020000,12.602995,9.154117,7.308095,8.213667,9.118807,27.059826,0.396450
0.020000,12.757374,9.220858,7.476283,8.409411,9.787213,33.420268,0.420123
0.020000,12.913858,9.293288,7.648717,8.621680,10.613462,41.312478,0.447391
0.020000,13.072309,9.372342,7.825793,8.853828,11.607386,49.696198,0.478756
0.020000,13.232503,9.459119,8.007982,9.109410,12.779115,58.586442,0.514797
0.020000,13.394084,9.554906,8.195820,9.391932,14.126055,67.347000,0.556163
0.020000,13.556478,9.661176,8.389895,9.703757,15.591271,73.260800,0.603557
0.020000,13.718796,9.779573,8.590805,10.045502,17.087227,74.797796,0.657694
0.020000,13.879688,9.911824,8.799076,10.413529,18.401386,65.707958,0.719212
0.020000,14.037197,10.059570,9.015035,10.797940,19.220531,40.957242,0.788543
0.020000,14.188639,10.224069,9.238630,11.179751,19.090560,-6.498534,0.865716
0.020000,14.330604,10.405773,9.469216,11.529335,17.479191,-80.568488,0.950138
0.020000,14.459171,10.603823,9.705338,11.806081,13.837325,-182.093295,1.040395
0.020000,14.570498,10.815799,9.944769,11.971556,8.273748,-278.178816,1.134265
0.020000,14.661568,11.037889,10.184806,12.001859,1.515123,-337.931294,1.228978
0.020000,14.730788,11.265431,10.422643,11.891855,-5.500215,-350.766889,1.321657
0.020000,14.778208,11.493757,10.655843,11.659952,-11.595144,-304.746449,1.409815
0.020000,14.805288,11.718951,10.882659,11.340822,-15.956470,-218.066312,1.491694
0.020000,14.814364,11.938229,11.102125,10.973283,-18.376972,-121.025061,1.566360
0.020000,14.808098,12.149948,11.313936,10.590560,-19.136143,-37.958562,1.633578
0.020000,14.789083,12.353387,11.518262,10.216291,-18.713455,21.134412,1.693608
0.020000,14.759628,12.548445,11.715531,9.863467,-17.641183,53.613588,1.746993
0.020000,14.721680,12.735410,11.906309,9.538885,-16.229117,70.603321,1.794408
0.020000,14.676842,12.914758,12.091176,9.243379,-14.775302,72.690710,1.836549
0.020000,14.626412,13.087027,12.270675,8.974924,-13.422741,67.628048,1.874077
0.020000,14.571435,13.252773,12.445301,8.731309,-12.180761,62.099036,1.907591
0.020000,14.512760,13.412511,12.615474,8.508662,-11.132360,52.420016,1.937621
0.020000,14.451081,13.566708,12.781550,8.303788,-10.243686,44.433736,1.964623
0.020000,14.386969,13.715776,12.943820,8.113485,-9.515146,36.426955,1.988989
0.020000,14.320902,13.860074,13.102524,7.935200,-8.914233,30.045689,2.011055
0.020000,14.253280,13.999917,13.257857,7.766682,-8.425936,24.414818,2.031106
0.020000,14.184453,14.135561,13.409964,7.605359,-8.066135,17.990062,2.049385
0.020000,14.114700,14.267272,13.559005,7.452047,-7.665597,20.026880,2.066105
0.020000,14.044237,14.395320,13.705161,7.307764,-7.214154,22.572193,2.081450
0.020000,13.973249,14.519939,13.848580,7.170976,-6.839378,18.738779,2.095581
0.020000,12.294058,13.627647,15.750124,95.077191,4395.310724,220107.505119,5.243779
0.020000,12.348898,13.532380,15.860047,5.496177,-4479.050707,-443718.071581,5.225988
0.020000,12.402279,13.435939,15.970276,5.511417,0.762026,223990.636663,5.210186
0.020000,12.454328,13.338519,16.080729,5.522647,0.561470,-10.027806,5.196287
0.020000,12.505174,13.240304,16.191325,5.529818,0.358591,-10.143936,5.184206
0.020000,12.554945,13.141469,16.301985,5.532970,0.157596,-10.049758,5.173859
0.020000,12.603767,13.042178,16.412629,5.532230,-0.037031,-9.731350,5.165164
0.020000,12.651764,12.942585,16.523184,5.527757,-0.223624,-9.329672,5.158042
0.020000,12.699057,12.842833,16.633579,5.519748,-0.400456,-8.841599,5.152420
0.020000,12.745764,12.743056,16.743747,5.508412,-0.566791,-8.316705,5.148225
0.020000,12.792000,12.643378,16.853627,5.493960,-0.722636,-7.792259,5.145394
0.020000,12.837873,12.543915,16.963159,5.476597,-0.868110,-7.273719,5.143865
0.020000,12.883488,12.444775,17.072289,5.456518,-1.003959,-6.792462,5.143581
0.020000,12.928946,12.346061,17.180967,5.433902,-1.130798,-6.341908,5.144488
0.020000,12.974340,12.247868,17.289145,5.408911,-1.249581,-5.939183,5.146537
0.020000,13.019759,12.150287,17.396779,5.381682,-1.361428,-5.592347,5.149680
0.020000,13.065287,12.053404,17.503826,5.352339,-1.467137,-5.285456,5.153873
0.020000,13.111000,11.957303,17.610245,5.320980,-1.567985,-5.042370,5.159073
0.020000,13.156969,11.862063,17.715999,5.287678,-1.665100,-4.855790,5.165240
0.020000,13.203259,11.767761,17.821049,5.252494,-1.759164,-4.703196,5.172333
0.020000,13.249927,11.674474,17.925358,5.215465,-1.851438,-4.613690,5.180315
0.020000,13.297024,11.582275,18.028890,5.176604,-1.943088,-4.582506,5.189146
0.020000,13.344595,11.491236,18.131608,5.135911,-2.034622,-4.576711,5.198788
0.020000,13.392674,11.401428,18.233476,5.093371,-2.127030,-4.620383,5.209202
0.020000,13.441291,11.312924,18.334455,5.048949,-2.221067,-4.701857,5.220348
0.020000,13.490467,11.225790,18.434507,5.002607,-2.317134,-4.803343,5.232186
0.020000,13.540214,11.140098,18.533592,4.954283,-2.416206,-4.953600,5.244675
0.020000,13.590536,11.055913,18.631671,4.903920,-2.518150,-5.097189,5.257771
0.020000,13.641430,10.973303,18.728700,4.851447,-2.623635,-5.274265,5.271430
0.020000,13.692883,10.892332,18.824636,4.796803,-2.732203,-5.428365,5.285606
0.020000,13.744873,10.813062,18.919434,4.739911,-2.844591,-5.619413,5.300251
0.020000,13.797372,10.735554,19.013048,4.680714,-2.959868,-5.763853,5.315318
0.020000,13.850340,10.659864,19.105431,4.619151,-3.078135,-5.913359,5.330757
0.020000,13.903734,10.586047,19.196535,4.555178,-3.198640,-6.025241,5.346517
0.020000,13.957498,10.514151,19.286310,4.488758,-3.320998,-6.117886,5.362545
0.020000,14.011573,10.444223,19.374708,4.419876,-3.444110,-6.155618,5.378791
0.020000,14.065892,10.376301,19.461678,4.348521,-3.567770,-6.183000,5.395203
0.020000,14.120381,10.310421,19.547172,4.274707,-3.690694,-6.146208,5.411727
0.020000,14.174963,10.246611,19.631142,4.198476,-3.811517,-6.041129,5.428315
0.020000,14.229554,10.184893,19.713539,4.119863,-3.930683,-5.958322,5.444915
0.020000,14.284069,10.125283,19.794318,4.038943,-4.045985,-5.765099,5.461479
0.020000,14.338419,10.067790,19.873434,3.955802,-4.157072,-5.554366,5.477960
0.020000,14.392514,10.012418,19.950844,3.870533,-4.263441,-5.318438,5.494314
0.020000,14.446263,9.959161,20.026510,3.783255,-4.363872,-5.021558,5.510497
0.020000,14.499575,9.908011,20.100391,3.694079,-4.458837,-4.748246,5.526471
0.020000,14.552358,9.858950,20.172454,3.603155,-4.546194,-4.367840,5.542198
0.020000,14.604525,9.811956,20.242667,3.510615,-4.626999,-4.040249,5.557644
0.020000,14.655988,9.767003,20.310998,3.416581,-4.701704,-3.735242,5.572778
0.020000,14.706663,9.724058,20.377423,3.321232,-4.767453,-3.287453,5.587572
0.020000,14.756469,9.683085,20.441917,3.224690,-4.827084,-2.981550,5.602002
0.020000,14.805329,9.644044,20.504458,3.127089,-4.880026,-2.647085,5.616044
0.020000,14.853168,9.606891,20.565030,3.028584,-4.925274,-2.262438,5.629679
0.020000,14.899916,9.571580,20.623616,2.929285,-4.964962,-1.984369,5.642892
0.020000,14.945510,9.538064,20.680203,2.829341,-4.997175,-1.610643,5.655668
0.020000,14.989885,9.506293,20.734779,2.728831,-5.025494,-1.415974,5.667995
0.020000,15.032986,9.476217,20.787337,2.627868,-5.048174,-1.133996,5.679865
0.020000,15.074760,9.447783,20.837869,2.526608,-5.062988,-0.740719,5.691270
0.020000,15.115157,9.420943,20.886369,2.425038,-5.078484,-0.774771,5.702204
0.020000,15.154132,9.395644,20.932835,2.323285,-5.087648,-0.458184,5.712664
0.020000,15.191644,9.371836,20.977265,2.221474,-5.090560,-0.145636,5.722648
0.020000,15.227654,9.349470,21.019656,2.119555,-5.095941,-0.269024,5.732153
0.020000,15.262130,9.328498,21.060009,2.017660,-5.094788,0.057655,5.741181
0.020000,15.295038,9.308873,21.098325,1.915790,-5.093490,0.064859,5.749732
0.020000,15.326352,9.290551,21.134605,1.814018,-5.088612,0.243914,5.757808
0.020000,15.356046,9.273487,21.168852,1.712356,-5.083068,0.277218,5.765411
0.020000,15.384096,9.257642,21.201068,1.610812,-5.077205,0.293130,5.772544
0.020000,15.410482,9.242975,21.231257,1.509432,-5.069016,0.409471,5.779210
0.020000,15.435186,9.229451,21.259421,1.408179,-5.062614,0.320091,5.785412
0.020000,15.458191,9.217036,21.285562,1.307082,-5.054859,0.387767,5.791153
0.020000,15.479484,9.205695,21.309687,1.206244,-5.041913,0.647296,5.796438
0.020000,15.499051,9.195400,21.331797,1.105479,-5.038247,0.183302,5.801270
0.020000,15.516881,9.186124,21.351895,1.004910,-5.028434,0.490615,5.805652
0.020000,15.533005,9.177820,21.370032,0.906849,-4.903076,6.267900,5.809599
0.020000,15.547503,9.170423,21.386308,0.813793,-4.652802,12.513737,5.813133
0.020000,15.560455,9.163868,21.400825,0.725839,-4.397712,12.754505,5.816280
0.020000,15.571947,9.158096,21.413684,0.642978,-4.143008,12.735160,5.819062
0.020000,15.582062,9.153048,21.424989,0.565228,-3.887508,12.775037,5.821505
0.020000,15.590884,9.148670,21.434838,0.492452,-3.638809,12.434917,5.823631
0.020000,15.598502,9.144908,21.443334,0.424801,-3.382579,12.811494,5.825462
0.020000,15.605002,9.141713,21.450577,0.362166,-3.131735,12.542230,5.827022
0.020000,15.610472,9.139033,21.456668,0.304552,-2.880695,12.551967,5.828332
0.020000,15.615001,9.136822,21.461708,0.251971,-2.629063,12.581626,5.829416
0.020000,15.618674,9.135032,21.465794,0.204296,-2.383723,12.266988,5.830294
0.020000,15.621583,9.133618,21.469029,0.161756,-2.127008,12.835771,5.830989
0.020000,15.623815,9.132534,21.471510,0.124064,-1.884585,12.121126,5.831521
0.020000,15.625461,9.131736,21.473339,0.091457,-1.630362,12.711167,5.831914
0.020000,15.626610,9.131180,21.474615,0.063810,-1.382337,12.401254,5.832188
0.020000,15.627350,9.130821,21.475438,0.041131,-1.133986,12.417533,5.832364
0.020000,15.627772,9.130617,21.475906,0.023422,-0.885415,12.428550,5.832465
0.020000,15.627964,9.130524,21.476120,0.010688,-0.636708,12.435335,5.832511
0.020000,15.628017,9.130498,21.476179,0.002930,-0.387930,12.438925,5.832523
0.020000,15.628020,9.130497,21.476182,0.000147,-0.139123,12.440364,5.832524
0.020000,15.628020,9.130497,21.476182,0.000000,-0.007358,6.588232,5.832524
